,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built
0,313000.0,3.0,1.5,1340,1.5,0,0,3,1340,0,1955
1,342000.0,3.0,2.0,1930,1.0,0,0,4,1930,0,1966
2,420000.0,3.0,2.25,2000,1.0,0,0,4,1000,1000,1963
3,550000.0,4.0,2.5,1940,1.0,0,0,4,1140,800,1976
4,490000.0,2.0,1.0,880,1.0,0,0,3,880,0,1938
5,335000.0,2.0,2.0,1350,1.0,0,0,3,1350,0,1976
6,482000.0,4.0,2.5,2710,2.0,0,0,3,2710,0,1989
7,452500.0,3.0,2.5,2430,1.0,0,0,4,1570,860,1985
8,640000.0,4.0,2.0,1520,1.5,0,0,3,1520,0,1945
9,463000.0,3.0,1.75,1710,1.0,0,0,3,1710,0,1948
10,588500.0,3.0,1.75,2330,1.0,0,0,3,1970,360,1980
11,365000.0,3.0,1.0,1090,1.0,0,0,4,1090,0,1955
12,242500.0,3.0,1.5,1200,1.0,0,0,4,1200,0,1965
13,419000.0,3.0,1.5,1570,1.0,0,0,4,1570,0,1956
14,367500.0,4.0,3.0,3110,2.0,0,0,3,3110,0,1997
15,257950.0,3.0,1.75,1370,1.0,0,0,3,1370,0,1987
16,275000.0,3.0,1.5,1180,1.0,0,0,3,1180,0,1983
17,750000.0,3.0,1.75,2240,2.0,0,0,5,1550,690,1923
18,435000.0,4.0,1.0,1450,1.0,0,0,4,1450,0,1954
19,626000.0,3.0,2.25,1750,2.5,0,0,3,1470,280,2005
20,612500.0,4.0,2.5,2730,2.0,0,0,3,2730,0,1991
21,495000.0,4.0,1.75,1600,1.0,0,0,3,1130,470,1959
22,285000.0,3.0,2.5,2090,1.0,0,0,4,1360,730,1987
23,615000.0,3.0,1.75,2360,1.0,0,0,4,1360,1000,1948
24,698000.0,4.0,2.25,2200,1.5,0,0,5,1300,900,1920
25,790000.0,3.0,2.5,2600,1.0,0,0,4,1700,900,1951
26,382500.0,4.0,1.75,1560,1.0,0,0,4,1560,0,1967
27,499950.0,4.0,2.5,2860,2.0,0,0,3,2190,670,2004
28,650000.0,4.0,2.0,1820,1.5,0,1,3,1640,180,1945
29,625000.0,4.0,2.5,2820,2.0,0,0,3,2820,0,2014
30,400000.0,4.0,2.5,3630,1.5,0,0,3,2300,1330,1979
31,604000.0,3.0,2.5,3240,2.0,0,2,3,3240,0,1995
32,287200.0,3.0,3.0,1850,1.0,0,0,4,1090,760,1992
33,403000.0,3.0,2.0,1960,1.0,0,2,5,1650,310,1957
34,750000.0,3.0,2.5,2390,1.0,0,2,4,1440,950,1955
35,335000.0,3.0,2.25,1580,1.0,0,0,4,1580,0,1978
36,260000.0,4.0,2.0,1480,1.0,0,0,4,1480,0,1974
